AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT
Board of Elections & Ethics,2011-06-30 00:00:00+00:00,454.50307692307695
Board of Elections & Ethics,2011-07-31 00:00:00+00:00,51.010000000000005
Board of Elections & Ethics,2011-08-31 00:00:00+00:00,285.37399999999997
Board of Elections & Ethics,2011-09-30 00:00:00+00:00,1592.384545454545
Board of Elections & Ethics,2011-10-31 00:00:00+00:00,467.375
Board of Elections & Ethics,2011-11-30 00:00:00+00:00,554.1378947368421
Board of Elections & Ethics,2011-12-31 00:00:00+00:00,285.46923076923076
Board of Elections & Ethics,2012-01-31 00:00:00+00:00,482.98
Board of Elections & Ethics,2012-02-29 00:00:00+00:00,527.5200000000001
Board of Elections & Ethics,2012-03-31 00:00:00+00:00,918.2078947368421
Board of Elections & Ethics,2012-04-30 00:00:00+00:00,805.4418181818182
Board of Elections & Ethics,2012-05-31 00:00:00+00:00,369.55555555555554
Board of Elections & Ethics,2012-06-30 00:00:00+00:00,587.7568421052631
Board of Elections & Ethics,2012-07-31 00:00:00+00:00,157.545
Board of Elections & Ethics,2012-08-31 00:00:00+00:00,263.45000000000005
Board of Elections & Ethics,2012-09-30 00:00:00+00:00,1096.0387999999998
Board of Elections & Ethics,2012-10-31 00:00:00+00:00,957.6733333333335
Board of Elections & Ethics,2012-11-30 00:00:00+00:00,1079.315
Board of Elections & Ethics,2012-12-31 00:00:00+00:00,351.0
Board of Elections & Ethics,2013-01-31 00:00:00+00:00,557.0583333333333
Board of Elections & Ethics,2013-02-28 00:00:00+00:00,402.34812500000004
Board of Elections & Ethics,2013-03-31 00:00:00+00:00,848.9342307692308
Board of Elections & Ethics,2013-04-30 00:00:00+00:00,800.71625
Board of Elections & Ethics,2013-05-31 00:00:00+00:00,328.8933333333333
Board of Elections & Ethics,2013-06-30 00:00:00+00:00,446.355
Board of Elections & Ethics,2013-07-31 00:00:00+00:00,689.2520000000001
Board of Elections & Ethics,2013-08-31 00:00:00+00:00,240.16428571428568
Board of Elections & Ethics,2013-09-30 00:00:00+00:00,609.3
Board of Elections & Ethics,2013-10-31 00:00:00+00:00,229.35399999999998
Board of Elections & Ethics,2013-11-30 00:00:00+00:00,460.49333333333334
Board of Elections & Ethics,2013-12-31 00:00:00+00:00,325.79625
Board of Elections & Ethics,2014-01-31 00:00:00+00:00,538.7538888888888
Board of Elections & Ethics,2014-02-28 00:00:00+00:00,947.83625
Board of Elections & Ethics,2014-03-31 00:00:00+00:00,431.37409090909097
Board of Elections & Ethics,2014-04-30 00:00:00+00:00,436.4953333333334
Board of Elections & Ethics,2014-05-31 00:00:00+00:00,125.140625
Board of Elections & Ethics,2014-06-30 00:00:00+00:00,563.9846666666667
Board of Elections & Ethics,2014-07-31 00:00:00+00:00,552.9504347826087
Board of Elections & Ethics,2014-08-31 00:00:00+00:00,425.7957142857143
Board of Elections & Ethics,2014-09-30 00:00:00+00:00,978.9114814814815
Board of Elections & Ethics,2014-10-31 00:00:00+00:00,828.3676315789472
Board of Elections & Ethics,2014-11-30 00:00:00+00:00,526.6892307692307
Board of Elections & Ethics,2014-12-31 00:00:00+00:00,150.18666666666664
Board of Elections & Ethics,2015-01-31 00:00:00+00:00,298.40549999999996
Board of Elections & Ethics,2015-02-28 00:00:00+00:00,288.4838888888889
Board of Elections & Ethics,2015-03-31 00:00:00+00:00,1435.0633333333333
Board of Elections & Ethics,2015-04-30 00:00:00+00:00,655.4847222222224
Board of Elections & Ethics,2015-05-31 00:00:00+00:00,184.07818181818183
Board of Elections & Ethics,2015-06-30 00:00:00+00:00,76.48461538461538
Board of Elections & Ethics,2015-07-31 00:00:00+00:00,0.0
Board of Elections & Ethics,2015-08-31 00:00:00+00:00,337.95125
Board of Elections & Ethics,2015-09-30 00:00:00+00:00,1276.1910000000003
Board of Elections & Ethics,2015-10-31 00:00:00+00:00,195.15083333333334
Board of Elections & Ethics,2015-11-30 00:00:00+00:00,203.53611111111113
Board of Elections & Ethics,2015-12-31 00:00:00+00:00,104.0
Board of Elections & Ethics,2016-01-31 00:00:00+00:00,356.01421052631576
Board of Elections & Ethics,2016-02-29 00:00:00+00:00,280.9213636363636
