AGENCY,TRANSACTION_DATE,Diff
Board of Elections & Ethics,2012-10-31 00:00:00+00:00,5.070333333333371
Board of Elections & Ethics,2012-11-30 00:00:00+00:00,14.54166666666661
Board of Elections & Ethics,2012-12-31 00:00:00+00:00,22.587142857142858
Board of Elections & Ethics,2013-01-31 00:00:00+00:00,167.5
Board of Elections & Ethics,2013-02-28 00:00:00+00:00,-83.99249999999998
Board of Elections & Ethics,2013-03-31 00:00:00+00:00,90.14923076923077
Board of Elections & Ethics,2013-04-30 00:00:00+00:00,-152.65874999999997
Board of Elections & Ethics,2013-05-31 00:00:00+00:00,148.07444444444445
Board of Elections & Ethics,2013-06-30 00:00:00+00:00,-116.75300000000001
Board of Elections & Ethics,2013-07-31 00:00:00+00:00,153.042
Board of Elections & Ethics,2013-08-31 00:00:00+00:00,-207.5742857142857
Board of Elections & Ethics,2013-09-30 00:00:00+00:00,244.43888888888887
Board of Elections & Ethics,2013-10-31 00:00:00+00:00,-329.9899999999999
Board of Elections & Ethics,2013-11-30 00:00:00+00:00,246.13333333333335
Board of Elections & Ethics,2013-12-31 00:00:00+00:00,-137.67000000000007
Board of Elections & Ethics,2014-01-31 00:00:00+00:00,-5.5044444444444425
Board of Elections & Ethics,2014-02-28 00:00:00+00:00,0.5712500000000205
Board of Elections & Ethics,2014-03-31 00:00:00+00:00,-0.6031818181818225
Board of Elections & Ethics,2014-04-30 00:00:00+00:00,0.571333333333348
Board of Elections & Ethics,2014-05-31 00:00:00+00:00,0.8556249999999981
Board of Elections & Ethics,2014-06-30 00:00:00+00:00,-0.9333333333333333
Board of Elections & Ethics,2014-07-31 00:00:00+00:00,12.018695652173914
Board of Elections & Ethics,2014-08-31 00:00:00+00:00,51.8585714285714
Board of Elections & Ethics,2014-09-30 00:00:00+00:00,31.131481481481455
Board of Elections & Ethics,2014-10-31 00:00:00+00:00,-47.566315789473705
Board of Elections & Ethics,2014-11-30 00:00:00+00:00,1.5161538461538522
Board of Elections & Ethics,2014-12-31 00:00:00+00:00,17.879999999999995
Board of Elections & Ethics,2015-01-31 00:00:00+00:00,-10.193999999999999
Board of Elections & Ethics,2015-02-28 00:00:00+00:00,-1.0233333333333374
Board of Elections & Ethics,2015-03-31 00:00:00+00:00,178.33222222222219
Board of Elections & Ethics,2015-04-30 00:00:00+00:00,-81.07361111111112
Board of Elections & Ethics,2015-05-31 00:00:00+00:00,17.740909090909078
Board of Elections & Ethics,2015-06-30 00:00:00+00:00,-32.49538461538462
